Bankrupt, ROA(B) before interest and depreciation after tax, Persistent EPS in the Last Four Seasons, Revenue Per Share (Yuan ¥), Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Interest Expense Ratio, Borrowing dependency, Net profit before tax/Paid-in capital, Operating profit per person, Net Income to Total Assets, Net Income to Stockholder's Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Working Capital/Equity, Non-industry income and expenditure/revenue
1,0.405749772,0.169140588,0.01755978,0.000326977,0.263099984,0.629951302,0.390284354,0.137757334,0.392912869,0.716845343,0.827890214,0.026600631,0.564050112,0.721274552,0.302646434
1,0.516730018,0.208943935,0.021144335,0.00044304,0.264515778,0.635172463,0.37676002,0.168961617,0.391589969,0.795297136,0.839969268,0.26457682,0.570174946,0.731975289,0.30355643
1,0.472295091,0.180580505,0.005944008,0.000396425,0.264183976,0.629631443,0.37909292,0.148035593,0.381967843,0.774669697,0.836774309,0.02655472,0.563706076,0.742728638,0.302035177
1,0.457733283,0.193722227,0.014368468,0.000382426,0.263371176,0.630228353,0.379742688,0.147560516,0.378496642,0.739554525,0.834697107,0.026696634,0.56466342,0.729824909,0.303349536
1,0.522297768,0.212536636,0.029689792,0.000438948,0.265218236,0.636054986,0.375025443,0.167460976,0.394371452,0.795015873,0.839972746,0.024751848,0.575616645,0.731999641,0.303474978
1,0.419133787,0.174435095,0.01810427,0.000351782,0.263249955,0.630183833,0.381448187,0.137825202,0.377569481,0.710420495,0.829938957,0.026675366,0.564538339,0.725201639,0.303115813
0,0.436158253,0.161482462,0.030914893,0.000351757,0.26303238,0.629987945,0.384998982,0.127939069,0.393172927,0.736619098,0.829979764,0.026622298,0.56420012,0.728730796,0.302814415
0,0.559077038,0.225205635,0.042560915,0.00045105,0.264111709,0.631379022,0.374219105,0.17951889,0.396463219,0.815350392,0.84145944,0.027030517,0.566088942,0.73494641,0.303544587
0,0.543283902,0.218398412,0.026604353,0.000452722,0.264150562,0.630914987,0.370253398,0.172158962,0.391940481,0.80364729,0.840486633,0.02689063,0.565591901,0.735182055,0.303583501
0,0.542962685,0.217831143,0.078663581,0.000444912,0.263883255,0.632188258,0.37450876,0.175657944,0.396372764,0.804194657,0.840688177,0.027243015,0.566667622,0.737180246,0.303482954
0,0.538197976,0.21896568,0.01553307,0.000448555,0.263901128,0.631236901,0.374179962,0.17761104,0.392754574,0.814110614,0.841337129,0.026971091,0.56589153,0.731958968,0.303758974
0,0.498956047,0.20468942,0.011419151,0.000455068,0.263912783,0.632095793,0.373113046,0.171525526,0.392437982,0.804886953,0.840649732,0.027390858,0.566982649,0.733045299,0.303604528
0,0.543390974,0.219343859,0.024638141,0.000442965,0.264404659,0.632377639,0.377306898,0.173290099,0.401845277,0.803260161,0.840702416,0.027479725,0.567146327,0.732681616,0.303434856
0,0.523689705,0.212914815,0.025711995,0.000442092,0.264174651,0.640422734,0.37315107,0.167860644,0.392494516,0.794157853,0.839910497,0.02499974,0.577445287,0.734591205,0.303491655
0,0.569837786,0.226434717,0.01858826,0.000473734,0.26439922,0.631670799,0.373692357,0.177920217,0.399923113,0.819715357,0.84162368,0.026896287,0.56561432,0.734995669,0.30356634
0,0.558755822,0.223787463,0.023821408,0.000469242,0.263769028,0.631097177,0.373544733,0.179828067,0.404513693,0.815418714,0.84139905,0.026897241,0.565618081,0.734495149,0.303461926
0,0.540285883,0.220194762,0.003478682,0.000458562,0.264227491,0.631239298,0.372267566,0.175167785,0.393726962,0.810421135,0.840888957,0.027002799,0.565999165,0.731993725,0.304319474
0,0.580919749,0.233052851,0.02575737,0.000471763,0.264260127,0.631059506,0.372724975,0.188288968,0.40057891,0.826642041,0.841983322,0.026907808,0.565659318,0.73563062,0.303558606
0,0.55864875,0.220005673,0.052981835,0.000461032,0.263991266,0.632451953,0.378709322,0.175062213,0.401754822,0.806263915,0.840954676,0.027637049,0.567398598,0.733185251,0.303522834
0,0.533647412,0.217452964,0.020055356,0.00044556,0.2636921,0.631267722,0.371230845,0.173531408,0.393252075,0.802551849,0.840455976,0.026924264,0.565722078,0.735200728,0.303467002
0,0.534664597,0.219343859,0.012266134,0.00044561,0.263909675,0.630623553,0.369637181,0.17520549,0.398317541,0.804639012,0.840638613,0.026793778,0.565170865,0.734286174,0.303553772
0,0.553027464,0.225394724,0.037872257,0.000466397,0.264082181,0.630982795,0.371209596,0.180665108,0.397910495,0.814011883,0.84131147,0.02688993,0.565589111,0.737989359,0.303530569
0,0.569034745,0.223220195,0.032502987,0.000466971,0.264636999,0.63223723,0.377012769,0.176494985,0.394009633,0.808976427,0.841234474,0.02756541,0.5672891,0.73302973,0.303432922
0,0.540446491,0.21896568,0.032654234,0.00044319,0.263950082,0.634338913,0.387275964,0.172860267,0.396338844,0.798103629,0.840325896,0.029363911,0.568730146,0.729973923,0.303391592
0,0.552599176,0.221896568,0.062328902,0.000457539,0.264135021,0.633345776,0.388057698,0.177309404,0.398046177,0.803444645,0.841046745,0.028206124,0.56804294,0.73135572,0.303456125
0,0.495529739,0.203554883,0.007698474,0.000397498,0.263909675,0.628951316,0.377159275,0.159678757,0.390855024,0.772908885,0.837925614,0.026415313,0.56237711,0.732118864,0.303016717
0,0.568606456,0.224260187,0.020463723,0.00045417,0.26397184,0.631321489,0.372166913,0.178696931,0.395502137,0.812973644,0.841187895,0.026924486,0.565722915,0.73169839,0.303466277
0,0.592483538,0.228420157,0.023261793,0.000458861,0.264281107,0.630964987,0.369875392,0.184986049,0.403190792,0.830176405,0.841854182,0.02685216,0.565433399,0.736094529,0.303543379
0,0.550564805,0.220572941,0.019283997,0.000460982,0.264080627,0.631503678,0.3719712,0.177490385,0.392867642,0.812100285,0.841115993,0.027066721,0.56620058,0.736007061,0.303694924
1,0.463782858,0.177838707,0.060529062,0.000417986,0.263455098,0.629275284,0.392590414,0.138624538,0.394100088,0.750430839,0.831976032,0.026471873,0.562976865,0.724531115,0.30325769
1,0.514427967,0.202514891,0.013581983,0.000417811,0.263748825,0.64852365,0.396528161,0.164565267,0.389814794,0.787081562,0.838258502,0.024885858,0.576472531,0.718087877,0.303477395
0,0.529685743,0.21102392,0.02906968,0.000444213,0.265442805,0.635145409,0.38402489,0.16899178,0.394100088,0.796022666,0.840052355,0.174090904,0.570161349,0.724543977,0.303414553
0,0.559826543,0.225394724,0.044133884,0.000450302,0.264022348,0.631549568,0.37558015,0.178206772,0.395909183,0.814102144,0.841431598,0.027118794,0.566350913,0.734300444,0.303547246
0,0.540500027,0.218209322,0.025061633,0.000452099,0.26397184,0.631230737,0.370535225,0.172091094,0.391024626,0.802923478,0.840451101,0.027003182,0.566000432,0.734506997,0.303621931
0,0.548583971,0.218682046,0.080327299,0.000433258,0.26397184,0.63249476,0.37531398,0.172656662,0.395762194,0.803065744,0.840608632,0.027676969,0.56745611,0.737300793,0.303474978
