ID,news,drama,movie,comedy,sports,documentary,living_info,child
1,2,1,1,1,4,2,1,1
2,5,NA,2,NA,1,1,1,1
3,5,2,2,2,6,5,5,1
4,4,4,3,4,6,6,4,5
5,5,2,3,2,3,4,4,1
6,4,5,5,4,4,5,4,1
7,4,5,3,5,3,5,5,3
8,5,5,5,5,5,5,4,1
9,5,4,4,3,5,5,3,1
10,5,4,2,1,3,4,1,1
11,4,2,2,2,2,2,5,1
12,4,4,1,2,5,5,5,2
13,3,3,3,3,3,3,3,3
14,4,4,4,3,4,4,4,2
15,5,5,4,4,5,5,5,2
16,4,1,4,3,5,5,2,1
17,4,4,3,3,4,4,4,1
18,5,1,5,4,1,3,1,4
19,3,4,1,4,4,4,1,1
20,4,3,2,3,2,2,2,2
21,4,4,5,5,5,3,3,3
22,5,3,3,2,2,5,3,3
23,1,1,1,1,1,1,1,1
24,4,2,4,1,2,5,1,1
25,4,3,1,1,3,1,1,1
26,4,1,2,1,6,3,1,1
27,4,4,3,3,3,3,1,1
28,5,1,1,1,1,2,4,1
29,4,4,4,3,4,5,3,3
30,5,2,3,1,6,4,1,1
31,4,4,5,4,3,3,5,3
32,4,4,4,3,4,4,4,1
33,1,1,1,1,1,4,1,1
34,4,3,3,4,5,4,4,1
35,5,3,4,4,3,5,4,2
36,1,1,1,1,1,1,1,1
37,3,3,3,4,3,3,3,3
38,3,3,2,4,2,4,3,3
39,3,3,3,3,3,4,3,1
40,2,2,2,2,2,4,2,2
41,5,4,2,2,2,2,3,1
42,4,4,4,4,4,4,4,4
43,6,2,4,4,6,6,6,2
44,4,3,2,1,2,5,5,3
45,1,1,2,1,1,3,3,1
46,4,3,3,3,4,4,4,3
47,5,2,1,1,3,4,4,1
48,4,3,4,3,3,4,3,3
49,1,4,4,2,4,5,4,1
50,4,4,4,3,4,3,3,3
51,4,3,3,3,3,3,3,1
52,3,4,4,3,1,4,1,1
53,5,3,2,1,5,4,2,1
54,6,3,4,3,3,6,3,3
55,1,1,1,1,1,1,1,1
56,5,1,1,3,4,5,3,1
57,5,5,3,3,3,5,4,1
58,5,3,4,3,5,5,4,4
59,5,4,5,4,3,3,4,5
60,5,5,5,5,5,5,5,1
61,4,3,3,3,5,5,4,1
62,5,2,1,2,4,5,5,1
63,5,4,5,5,6,5,6,1
64,4,1,1,1,4,3,3,1
65,4,4,4,1,1,1,1,1
66,5,2,3,2,5,5,5,1
67,3,2,2,NA,6,6,6,3
68,5,1,4,4,4,1,1,1
69,5,2,2,2,5,5,5,2
70,4,NA,4,6,6,NA,6,4
71,1,1,1,1,1,1,1,1
72,5,3,4,3,4,5,4,1
73,3,2,2,2,2,2,2,1
74,1,1,4,3,1,1,1,1
75,5,6,4,5,5,4,3,3
76,4,3,5,2,4,5,4,1
77,3,3,3,3,3,3,3,3
78,4,4,4,2,2,4,3,2
79,4,3,3,2,2,5,5,3
80,5,3,3,2,2,2,4,1
81,4,4,4,4,4,4,4,4
82,6,3,2,2,3,5,5,1
83,5,3,1,1,2,3,4,2
84,1,2,4,1,1,1,2,1
85,3,1,4,1,1,4,2,2
86,5,1,1,1,5,5,1,1
87,4,4,4,3,3,3,3,2
88,4,5,4,5,4,4,5,4
89,6,3,2,3,3,3,3,3
90,4,4,3,3,3,3,4,3
91,5,1,1,4,4,4,4,4
92,5,3,3,4,5,5,5,2
93,5,4,3,2,2,4,4,2
94,4,3,3,3,3,5,3,2
95,4,NA,2,1,3,5,4,2
96,1,4,5,2,1,4,4,1
97,6,6,5,5,6,6,5,3
98,6,3,5,4,3,4,5,1
99,5,4,3,2,4,5,5,1
100,4,3,5,4,4,5,5,1
101,4,4,2,1,1,4,4,1
102,4,2,2,1,1,1,4,1
103,2,4,4,1,3,3,3,4
104,3,5,3,5,6,3,6,1
105,1,1,2,1,1,4,4,1
106,5,3,1,3,1,1,2,4
107,4,2,1,1,1,1,1,1
108,4,4,4,3,4,4,5,2
109,3,4,1,1,1,4,4,4
110,3,6,6,4,3,3,2,3
111,2,2,2,3,5,1,1,3
112,3,2,2,2,2,3,3,2
113,3,3,4,4,4,4,4,1
114,1,5,1,3,2,4,4,2
115,2,4,3,3,3,4,3,2
116,3,1,1,1,1,1,1,1
117,4,2,2,3,3,3,3,3
118,1,1,1,1,1,1,1,1
119,2,2,2,2,2,2,2,2
120,5,2,3,3,3,3,3,3
121,4,1,2,4,3,4,4,4
122,4,3,5,4,3,4,5,3
123,3,3,3,3,3,3,3,1
124,4,3,4,4,5,4,4,4
125,3,4,3,2,2,4,3,1
126,1,5,4,5,4,3,5,1
127,4,4,3,2,2,4,4,3
128,2,2,2,2,2,2,2,2
129,3,3,3,3,3,3,3,3
130,5,2,2,2,2,5,2,2
131,5,5,5,5,5,5,5,4
132,4,5,1,2,2,1,2,1
133,4,2,1,2,2,4,4,1
134,5,6,3,5,3,4,6,6
135,1,2,1,1,1,1,1,1
136,5,5,5,5,5,5,5,5
137,4,4,3,3,3,4,5,4
138,5,4,5,1,5,4,5,5
139,6,4,2,2,5,5,4,2
140,5,3,3,1,1,5,5,1
141,6,3,3,3,3,4,4,3
142,3,3,3,3,2,4,3,3
143,4,3,3,4,4,4,4,1
144,5,4,6,5,4,4,3,5
145,5,2,2,2,4,5,5,1
146,6,1,3,3,3,4,4,1
147,6,3,6,1,5,5,4,1
148,5,4,5,4,3,4,4,3
149,5,3,3,3,3,5,5,3
150,6,6,4,5,6,6,6,6
151,4,4,4,4,4,4,4,4
152,3,2,3,2,3,2,2,2
153,5,1,2,2,5,5,5,1
154,3,3,1,3,3,1,3,1
155,3,3,6,6,1,1,1,1
156,5,5,5,4,4,4,4,3
157,4,3,1,1,2,6,3,1
158,5,4,3,3,5,4,4,2
159,6,4,5,4,6,5,5,1
160,3,5,2,2,2,2,2,2
161,4,4,4,4,4,4,4,4
